№;Контекст;Русский;English;Español
74;HttpUploadController;Не удалось настроить точку доступа: %1;Failed to configure the access point: %1;No se pudo configurar el punto de acceso: %1
75;HttpUploadController;Не удалось запустить точку доступа.;Failed to start the access point.;No se pudo iniciar el punto de acceso.
76;HttpUploadController;Не удалось запустить точку доступа: %1;Failed to start the access point: %1;No se pudo iniciar el punto de acceso: %1
77;HttpUploadController;Точка доступа %1 активна. Ожидание подключения клиента.;Access point %1 is active. Waiting for a client to connect.;El punto de acceso %1 está activo. Esperando la conexión de un cliente.
78;HttpUploadController;К точке доступа подключено устройство.;A device is connected to the access point.;Un dispositivo está conectado al punto de acceso.
79;HttpUploadController;Не удалось занять порт %1: %2;Failed to bind port %1: %2;No se pudo ocupar el puerto %1: %2
80;HttpUploadController;Получение файла...;Receiving file...;Recibiendo archivo...
81;HttpUploadController;Получение файла: %1%;Receiving file: %1%;Recibiendo archivo: %1%
82;HttpUploadController;Ошибка загрузки;Upload error;Error de carga
83;HttpUploadController;Загрузка завершена;Upload finished;Carga finalizada
84;HttpUploadController;Некорректная версия интерфейса;Invalid interface version;Versión de interfaz no válida
85;HttpUploadController;Не удалось удалить старый backup UserInterface.bak;Failed to delete old backup UserInterface.bak;No se pudo eliminar la copia antigua UserInterface.bak
86;HttpUploadController;Не удалось создать backup UserInterface.bak;Failed to create backup UserInterface.bak;No se pudo crear la copia de seguridad UserInterface.bak
87;HttpUploadController;Не удалось обновить модуль интерфейса (%1);Failed to update the interface module (%1);No se pudo actualizar el módulo de interfaz (%1)
88;HttpUploadController;Не удалось выставить права на запуск для UserInterface;Failed to set execute permissions for UserInterface;No se pudieron establecer permisos de ejecución para UserInterface
89;HttpUploadController;Некорректная версия медиафайлов;Invalid media files version;Versión de archivos multimedia no válida
90;HttpUploadController;Не удалось обновить медиафайлы;Failed to update media files;No se pudieron actualizar los archivos multimedia
91;HttpUploadController;Обновление МК недоступно;MCU update unavailable;Actualización del MCU no disponible
92;HttpUploadController;Не выбрана версия;No version selected;No se ha seleccionado ninguna versión
93;HttpUploadController;Файл не найден: %1;File not found: %1;Archivo no encontrado: %1
94;HttpUploadController;Не удалось поставить обновление в очередь;Failed to queue the update;No se pudo poner la actualización en cola
95;HttpUploadController;Команда перезагрузки после обновления;Reboot command after update;Comando de reinicio tras la actualización
96;InstrumEditor;Выбор инструмента для выхода %1;electrode for output %1;electrodo para la salida %1
97;InstrumEditor;РЕЖИМ: %1;MODE: %1;MODO: %1
98;InstrumEditor;X;X;X
99;InstrumEditor;▼;▼;▼
100;InstrumEditor;▲;▲;▲
101;InstrumEditor;ОТМЕНА;CANCEL;CANCELAR
102;InstrumEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
103;InstrumEditor;Выберите рекомендуемую мощность;SET RECOMMENDED VALUE;ESTABLECER VALOR RECOMENDADO
104;InstrumRect;инструмент не выбран;electrode not selected;electrodo no seleccionado
105;ItemList;Редактирование названия;Edit name;Editar nombre
106;ItemList;Укажите новое имя:;Enter a new name:;Introduzca un nombre nuevo:
107;ItemList;ОТМЕНА;CANCEL;CANCELAR
108;ItemList;ПРИНЯТЬ;ACCEPT;ACEPTAR
109;LinkStm;Не удалось обновить модуль;Failed to update the module;No se pudo actualizar el módulo
110;LinkStm;Файл прошивки не найден;Firmware file not found;Archivo de firmware no encontrado
111;LinkStm;Пустой или некорректный hex;Empty or invalid hex;Hex vacío o no válido
112;LogFileScreen;Январь;January;Enero
113;LogFileScreen;Февраль;February;Febrero
114;LogFileScreen;Март;March;Marzo
115;LogFileScreen;Апрель;April;Abril
116;LogFileScreen;Май;May;Mayo
117;LogFileScreen;Июнь;June;Junio
118;LogFileScreen;Июль;July;Julio
119;LogFileScreen;Август;August;Agosto
120;LogFileScreen;Сентябрь;September;Septiembre
121;LogFileScreen;Октябрь;October;Octubre
122;LogFileScreen;Ноябрь;November;Noviembre
123;LogFileScreen;Декабрь;December;Diciembre
124;LogFileScreen;Пн;Mon;Lun
125;LogFileScreen;Вт;Tue;Mar
126;LogFileScreen;Ср;Wed;Mié
127;LogFileScreen;Чт;Thu;Jue
128;LogFileScreen;Пт;Fri;Vie
129;LogFileScreen;Сб;Sat;Sáb
130;LogFileScreen;Вс;Sun;Dom
131;LogFileScreen;Журнал недоступен;Log unavailable;Registro no disponible
132;LogFileScreen;Записей нет;No records;Sin registros
133;LogFileScreen;Журнал событий (лог-файл);Event log;Registro de eventos
134;LogFileScreen;Фильтр:;Filter:;Filtro:
135;LogFileScreen;Ошибки;Errors;Errores
136;LogFileScreen;Включения;Power-ons;Encendidos
137;LogFileScreen;Всё;All;Todo
138;LogFileScreen;Не выбрана;Not selected;No seleccionada
139;LogFileScreen;Обновить;Refresh;Actualizar
140;LogFileScreen;Записей: %1;Records: %1;Registros: %1
141;LogFileScreen;Выбор даты;Select date;Seleccionar fecha
142;LogFileScreen;Закрыть;Close;Cerrar
143;LogFileScreen;Выбрано: %1;Selected: %1;Seleccionado: %1
144;LogFileScreen;Назад;back;atrás
145;MainMenu;МЕНЮ;MENU;MENÚ
146;MainMenu;НАЗАД;BACK;ATRÁS
147;MainMenu;ВИДЕОИНСТРУКЦИИ;VIDEO GUIDES;VIDEOTUTORIALES
148;MainMenu;"РЕКОМЕНДУЕМЫЕ
ПРОГРАММЫ";"RECOMMENDED
PROGRAMS";"PROGRAMAS
RECOMENDADOS"
149;MainMenu;"ПОСЛЕДНИЕ
УСТАНОВКИ";"LAST
SETTINGS";"AJUSTES
RECIENTES"
150;MainMenu;"ПРОГРАММЫ
ПОЛЬЗОВАТЕЛЯ";"USER
PROGRAMS";"PROGRAMAS
DE USUARIO"
151;MainMenu;"СВОБОДНАЯ
УСТАНОВКА";"FREE MODE
SETTING";"CONFIGURACIÓN DEL
MODO LIBRE"
152;ModeEditor;Выбор режима РЕЗАНИЯ для выхода %1;cut mode for output %1;modo de corte para la salida %1
153;ModeEditor;Выбор режима КОАГУЛЯЦИИ для выхода %1;coagulation mode for output %1;modo de coagulación para la salida %1
154;ModeEditor;X;X;X
155;ModeEditor;▼;▼;▼
156;ModeEditor;▲;▲;▲
157;ModeEditor;ОТМЕНА;CANCEL;CANCELAR
158;ModeEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
159;ModePowerRect;эффект резания;cut eff.;cort ef.
160;ModePowerRect;эффект коагуляции;coag eff.;coag ef.
161;Modes;НЕ ВЫБРАН;MODE DISABLED;MODO DESHABILITADO
162;NetworkControl;Не удалось подключиться к Wi-Fi;Failed to connect to Wi-Fi;No se pudo conectar a la red Wi-Fi
163;NetworkControl;Не удалось отключить Wi-Fi;Failed to disconnect Wi-Fi;No se pudo desconectar la red Wi-Fi
164;NeutralDrawer;СОПРОТИВЛЕНИЕ НЭ;NE RESISTANCE;RESISTENCIA DEL EN
165;NeutralDrawer;ВЫБОР НЕЙТРАЛЬНОГО ЭЛЕКТРОДА;NEUTRAL ELECTRODE SELECTION;SELECCIÓN DEL ELECTRODO NEUTRO
166;NeutralDrawer;X;X;X
167;NeutralEl;"< 5кг
Макс.50";"< 5 kg
Max. 50";"< 5 kg
Máx. 50"
168;NeutralEl;"5-15кг
Макс.75";"5-15 kg
Max. 75";"5-15 kg
Máx. 75"
169;NeutralEl;"> 15кг
Макс.400";"> 15 kg
Max. 400";"> 15 kg
Máx. 400"
170;NeutralEl;"Младенец: &lt; <b>5</b> кг<br>Макс. мощность <b>50</b>";"Infant: &lt; <b>5</b> kg<br>Max. power <b>50</b>";"Lactante: &lt; <b>5</b> kg<br>Potencia máx. <b>50</b>"
171;NeutralEl;Ребёнок: <b>5-15</b> кг<br>Макс. мощность <b>75</b>;Child: <b>5-15</b> kg<br>Max. power <b>75</b>;Niño: <b>5-15</b> kg<br>Potencia máx. <b>75</b>
172;NeutralEl;"Взрослый: &gt; <b>15</b> кг<br>Макс. мощность <b>400</b>";"Adult: &gt; <b>15</b> kg<br>Max. power <b>400</b>";"Adulto: &gt; <b>15</b> kg<br>Potencia máx. <b>400</b>"
173;PedalContainer;выбор педали;Select pedal;Selec. pedal
174;PedalDrawer;ВЫБЕРИТЕ УСТРОЙСТВО АКТИВАЦИИ;SELECT ACTIVATION DEVICE;SELECCIONE EL DISPOSITIVO DE ACTIVACIÓN
175;PowerRect;рез-%1 коаг-%2;cut-%1 coag-%2;corte-%1 coag-%2
176;ProgAdditionPop;"Добавить новый ""Лист"" программы";"Add a new program ""sheet""";"Añadir una nueva ""hoja"" de programa"
177;ProgAdditionPop;"ДУБЛИРОВАТЬ
ТЕКУЩИЙ";"DUPLICATE
CURRENT";"DUPLICAR
ACTUAL"
178;ProgAdditionPop;"ВЫБРАТЬ ИЗ
РЕКОМЕНДОВАННЫХ";"CHOOSE FROM
RECOMMENDED";"ELEGIR DE
RECOMENDADOS"
179;ProgAdditionPop;"ДОБАВИТЬ
ПУСТОЙ";"ADD
EMPTY";"AÑADIR
VACÍO"
180;ProgItemList;РЕКОМЕНДУЕМЫЕ ПРОГРАММЫ;RECOMMENDED PROGRAMS;PROGRAMAS RECOMENDADOS
181;ProgItemList;ПРОГРАММЫ ПОЛЬЗОВАТЕЛЯ;USER PROGRAMS;PROGRAMAS DE USUARIO
182;ProgItemList;Выберите область;Select an area;Seleccione un área
183;ProgItemList;▲;▲;▲
184;ProgItemList;▼;▼;▼
185;ProgItemList;Выберите программу;SELECT PROGRAM;SELECCIONA UN PROGRAMA
186;ProgItemList;НАЗАД;BACK;ATRÁS
187;ProgItemList;Подтверждение удаления;Confirm deletion;Confirmar eliminación
188;ProgItemList;"Область ""%1"" будет удалена. Продолжить?";"Area ""%1"" will be deleted. Continue?";"El área ""%1"" se eliminará. ¿Continuar?"
189;ProgItemList;"Программа ""%1"" будет удалена. Продолжить?";"Program ""%1"" will be deleted. Continue?";"El programa ""%1"" se eliminará. ¿Continuar?"
190;ProgItemList;ОТМЕНА;CANCEL;CANCELAR
191;ProgItemList;ПРИНЯТЬ;ACCEPT;ACEPTAR
192;ProgSaveDialog;Сохранение программы;Save program;Guardar programa
193;ProgSaveDialog;ОТМЕНА;CANCEL;CANCELAR
194;ProgSaveDialog;ПРИНЯТЬ;ACCEPT;ACEPTAR
195;ProgSaveDialog;Выберите папку или создайте новую;SELECT A FOLDER;SELECCIONA UNA CARPETA
196;ProgSaveDialog;Категория;Category;Categoría
197;ProgSaveDialog;Укажите название программы;ENTER THE PROGRAM NAME;INGRESE EL NOMBRE DEL PROGRAMA
198;ProgSaveDialog;Название;Name;Nombre
199;QObject;БИ-СМЕСЬ;BI-BLEND;BI-MEZCLA
200;QObject;БИ-ТУР;BI-TUR;BI-TUR
201;QObject;БИ-АРТРО;BI-ARTHRO;BI-ARTRO
202;QObject;БИ-ГИСТЕРО;BI-HYSTERO;BI-HISTERO
203;QObject;БИ-КОАГ;BI-COAG;BI-COAG
204;QObject;БИ-КОАГ-ДИССЕКТ;BI-COAG-DISSECT;BI-COAG-DISECC
205;QObject;ТЕРМОШОВ;T-SEAM;TERMOSELLADO
206;QObject;РЕЗАНИЕ;CUT;CORTE
207;QObject;СМЕСЬ;BLEND;MEZCLA
208;QObject;СМЕСЬ-1;BLEND-1;MEZCLA-1
209;QObject;ТУР;TUR;TUR
210;QObject;ВАП;VAP;VAP
211;QObject;ЭНДОНОЖ-1;ENDOKNIFE-1;ENDOBISTURÍ-1
212;QObject;ЭНДОНОЖ-2;ENDOKNIFE-2;ENDOBISTURÍ-2
213;QObject;ЭНДОНОЖ-3;ENDOKNIFE-3;ENDOBISTURÍ-3
214;QObject;ЭНДОПЕТЛЯ-;ENDOLOOP-;ENDOASA-
215;QObject;ЭНДОПЕТЛЯ-2;ENDOLOOP-2;ENDOASA-2
216;QObject;ЭНДОПЕТЛЯ-3;ENDOLOOP-3;ENDOASA-3
217;QObject;ФОРС;FORCED;FORZADA
218;QObject;ФУЛЬГУР;FULGUR;FULGUR
219;QObject;МЯГКАЯ;SOFT;SUAVE
220;QObject;СПРЕЙ;SPRAY;SPRAY
221;QObject;ФУЛЬГУР АРГОН;FULGUR ARGON;FULGUR ARGÓN
222;QObject;СПРЕЙ АРГОН;SPRAY ARGON;SPRAY ARGÓN
223;QObject;ФУЛЬГУР ПУЛЬС АРГОН;FULGUR PULSE ARGON;FULGUR PULSO ARGÓN
224;QObject;СПРЕЙ ПУЛЬС АРГОН;SPRAY PULSE ARGON;SPRAY PULSO ARGÓN
225;RemoteUpdater;Серийный номер не задан (%1);Serial number is not set (%1);Número de serie no establecido (%1)
226;RemoteUpdater;Повтор открытия сессии (осталось попыток: %1)…;Retrying session open (attempts left: %1)…;Reintentando abrir la sesión (intentos restantes: %1)…
227;RemoteUpdater;Открываю сервисную сессию...;Opening service session...;Abriendo sesión de servicio...
228;RemoteUpdater;Жду готовности порта SSH-туннеля, повтор через 500 мс…;Waiting for SSH tunnel port, retry in 500 ms…;Esperando el puerto del túnel SSH, reintento en 500 ms…
229;RemoteUpdater;Не удалось открыть сервисную сессию: %1;Failed to open service session: %1;No se pudo abrir la sesión de servicio: %1
230;RemoteUpdater;Ответ open session не содержит sessionId;Open session response contains no sessionId;La respuesta de open session no contiene sessionId
231;RemoteUpdater;Сервисная сессия открыта;Service session opened;Sesión de servicio abierta
232;RemoteUpdater;Таймаут при выходе с экрана обновления (сессия сброшена локально);Timeout while leaving the update screen (session reset locally);Tiempo agotado al salir de la pantalla de actualización (sesión restablecida localmente)
233;RemoteUpdater;Повтор закрытия сессии (осталось попыток: %1)…;Retrying session close (attempts left: %1)…;Reintentando cerrar la sesión (intentos restantes: %1)…
234;RemoteUpdater;Закрываю сервисную сессию...;Closing service session...;Cerrando sesión de servicio...
235;RemoteUpdater;Жду порт туннеля для закрытия сессии, повтор через 500 мс…;Waiting for tunnel port to close session, retry in 500 ms…;Esperando el puerto del túnel para cerrar la sesión, reintento en 500 ms…
236;RemoteUpdater;Сервер недоступен — сессия сброшена на устройстве (close не доставлен): %1;Server unavailable — session reset on device (close not delivered): %1;Servidor no disponible: la sesión se restableció en el dispositivo (close no entregado): %1
237;RemoteUpdater;Сервисная сессия закрыта;Service session closed;Sesión de servicio cerrada
238;RemoteUpdater;Сначала откройте сервисную сессию;Open a service session first;Abra primero una sesión de servicio
239;RemoteUpdater;Проверяю версии на сервере...;Checking versions on the server...;Comprobando versiones en el servidor...
240;RemoteUpdater;Ошибка check-version: %1;check-version error: %1;Error de check-version: %1
241;RemoteUpdater;Доступно обновление ПО;Software update available;Actualización de software disponible
242;RemoteUpdater;Обновление не требуется;No update required;No se requiere actualización
243;RemoteUpdater;Создаю задачу обновления...;Creating update job...;Creando tarea de actualización...
244;RemoteUpdater;Ошибка create update job: %1;create update job error: %1;Error de create update job: %1
245;RemoteUpdater;Ответ create job не содержит jobId;Create job response contains no jobId;La respuesta de create job no contiene jobId
246;RemoteUpdater;Задача обновления создана;Update job created;Tarea de actualización creada
247;RemoteUpdater;Нужны открытая сессия и jobId;An open session and jobId are required;Se requieren una sesión abierta y un jobId
248;RemoteUpdater;Получаю payload обновления...;Fetching update payload...;Obteniendo el payload de la actualización...
249;RemoteUpdater;Ошибка получения payload: %1;Failed to fetch payload: %1;Error al obtener el payload: %1
250;RemoteUpdater;Payload не содержит artifactUrl;Payload contains no artifactUrl;El payload no contiene artifactUrl
251;RemoteUpdater;Payload получен;Payload received;Payload recibido
252;RemoteUpdater;SSH-туннель уже активен;SSH tunnel is already active;El túnel SSH ya está activo
253;RemoteUpdater;Не задан tunnelUserHost (пример: user@10.64.61.2);tunnelUserHost is not set (example: user@10.64.61.2);tunnelUserHost no está establecido (ejemplo: user@10.64.61.2)
254;RemoteUpdater;SSH process exited with code %1;SSH process exited with code %1;El proceso SSH terminó con código %1
255;RemoteUpdater;SSH-туннель остановлен (code=%1): %2;SSH tunnel stopped (code=%1): %2;Túnel SSH detenido (code=%1): %2
256;RemoteUpdater;Ошибка SSH-туннеля: %1;SSH tunnel error: %1;Error del túnel SSH: %1
257;RemoteUpdater;Не удалось запустить SSH-туннель (нужна key-based auth): %1;Failed to start SSH tunnel (key-based auth required): %1;No se pudo iniciar el túnel SSH (se requiere autenticación por clave): %1
258;RemoteUpdater;SSH-туннель запущен, apiBaseUrl=%1;SSH tunnel started, apiBaseUrl=%1;Túnel SSH iniciado, apiBaseUrl=%1
259;RemoteUpdater;SSH-туннель остановлен;SSH tunnel stopped;Túnel SSH detenido
260;RemoteUpdater;Нельзя запустить мониторинг без активной сессии;Cannot start monitoring without an active session;No se puede iniciar la monitorización sin una sesión activa
261;RemoteUpdater;Мониторинг команд оператора запущен;Operator command monitoring started;Monitorización de comandos del operador iniciada
262;RemoteUpdater;Мониторинг команд оператора остановлен;Operator command monitoring stopped;Monitorización de comandos del operador detenida
263;RemoteUpdater;Detached restart не удался, выполняю restart через exit code;Detached restart failed, restarting via exit code;El reinicio independiente falló, reiniciando mediante código de salida
264;RemoteUpdater;таймаут или kill;timeout or kill;tiempo agotado o kill
265;RemoteUpdater;код %1;code %1;código %1
266;RemoteUpdater;Не удалось остановить сервис (systemctl --user stop Demo1-user.service). %1;Failed to stop the service (systemctl --user stop Demo1-user.service). %1;No se pudo detener el servicio (systemctl --user stop Demo1-user.service). %1
267;RemoteUpdater;Не удалось запустить shell: %1;Failed to start shell: %1;No se pudo iniciar el shell: %1
268;RemoteUpdater;Ошибка опроса server job: %1;Server job polling error: %1;Error al consultar la tarea del servidor: %1
269;RemoteUpdater;next-update-job: отсутствует jobId;next-update-job: jobId missing;next-update-job: falta jobId
270;RemoteUpdater;Получена команда оператора: запускаю обновление;Operator command received: starting update;Comando del operador recibido: iniciando actualización
271;RemoteUpdater;Некорректный artifactUrl: %1;Invalid artifactUrl: %1;artifactUrl no válido: %1
272;RemoteUpdater;Не удалось открыть файл для загрузки: %1;Failed to open file for download: %1;No se pudo abrir el archivo para la descarga: %1
273;RemoteUpdater;Ошибка загрузки артефакта: %1;Artifact download error: %1;Error al descargar el artefacto: %1
274;RemoteUpdater;SHA256 не совпадает: expected=%1 actual=%2;SHA256 mismatch: expected=%1 actual=%2;SHA256 no coincide: expected=%1 actual=%2
275;RemoteUpdater;Не удалось посчитать payloadSha256;Failed to compute payloadSha256;No se pudo calcular payloadSha256
276;RemoteUpdater;payloadSha256 не совпадает: expected=%1 actual=%2;payloadSha256 mismatch: expected=%1 actual=%2;payloadSha256 no coincide: expected=%1 actual=%2
277;RemoteUpdater;Не удалось создать директорию распаковки;Failed to create extraction directory;No se pudo crear el directorio de extracción
278;RemoteUpdater;Не удалось запустить распаковку: %1;Failed to start extraction: %1;No se pudo iniciar la extracción: %1
279;RemoteUpdater;Ошибка распаковки: %1;Extraction error: %1;Error de extracción: %1
280;RemoteUpdater;В payload не найден исполняемый файл обновления;No update executable found in payload;No se encontró el ejecutable de actualización en el payload
281;RemoteUpdater;Не удалось открыть update-manifest.json;Failed to open update-manifest.json;No se pudo abrir update-manifest.json
282;RemoteUpdater;update-manifest.json должен быть JSON-объектом;update-manifest.json must be a JSON object;update-manifest.json debe ser un objeto JSON
283;RemoteUpdater;update-manifest.json: deployPaths пуст;update-manifest.json: deployPaths is empty;update-manifest.json: deployPaths está vacío
284;RemoteUpdater;Некорректный путь в manifest: %1;Invalid path in manifest: %1;Ruta no válida en el manifiesto: %1
285;RemoteUpdater;Путь из manifest не найден в payload: %1;Manifest path not found in payload: %1;Ruta del manifiesto no encontrada en el payload: %1
286;RemoteUpdater;Новый бинарник отсутствует: %1;New binary is missing: %1;Falta el nuevo binario: %1
287;RemoteUpdater;Не удалось создать backup каталог;Failed to create backup directory;No se pudo crear el directorio de copia de seguridad
288;RemoteUpdater;Manifest найден, но не дал файлов для deploy;Manifest found but yielded no files to deploy;Manifiesto encontrado pero sin archivos para desplegar
289;RemoteUpdater;Запрещённый путь в payload: %1;Forbidden path in payload: %1;Ruta prohibida en el payload: %1
290;RemoteUpdater;Симлинки в payload запрещены: %1;Symlinks in payload are forbidden: %1;Los enlaces simbólicos en el payload están prohibidos: %1
291;RemoteUpdater;Не удалось сделать backup: %1;Failed to make a backup: %1;No se pudo crear la copia de seguridad: %1
292;RemoteUpdater;Не удалось скопировать файл: %1;Failed to copy file: %1;No se pudo copiar el archivo: %1
293;RemoteUpdater;Не удалось удалить старый файл: %1;Failed to delete old file: %1;No se pudo eliminar el archivo antiguo: %1
294;RemoteUpdater;Не удалось заменить файл: %1;Failed to replace file: %1;No se pudo reemplazar el archivo: %1
295;RemoteUpdater;Не удалось выставить права на запуск для бинарника: %1;Failed to set execute permissions for binary: %1;No se pudieron establecer permisos de ejecución para el binario: %1
296;RemoteUpdater;Нужны открытая сессия и созданная задача;An open session and a created job are required;Se requieren una sesión abierta y una tarea creada
297;RemoteUpdater;artifactUrl пуст, получите payload;artifactUrl is empty, fetch the payload;artifactUrl está vacío, obtenga el payload
298;RemoteUpdater;Запуск обновления...;Starting update...;Iniciando actualización...
299;RemoteUpdater;Обновление применено;Update applied;Actualización aplicada
300;RemoteUpdater;UI update deployed;UI update deployed;UI update deployed
301;RemoteUpdater;Обновление успешно применено;Update applied successfully;Actualización aplicada correctamente
302;SecretKeysWindow;Эндоскопические функции;Endoscopic features;Funciones endoscópicas
303;SecretKeysWindow;Аргонусиленная коагуляция;Argon-enhanced coagulation;Coagulación asistida por argón
304;SecretKeysWindow;Секретные ключи;Secret keys;Claves secretas
305;SecretKeysWindow;Назад;back;atrás
306;SecretKeysWindow;Генерация ключа;Key generation;Generación de clave
307;SecretKeysWindow;Серийный номер:;Serial number:;Número de serie:
308;SecretKeysWindow;Тип аппарата:;Unit type:;Tipo de equipo:
309;SecretKeysWindow;Функция:;Feature:;Función:
310;SecretKeysWindow;Сгенерировать ключ;Generate key;Generar clave
